Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Celestian, Aaron J; Bourcier, William; Camiré, Christopher L; Kumar, Jayanthi; Paranthaman, Mariappan Parans; ",Mechanism of Lithium Ion Exchange Into Spinel Manganese Oxide,Journal of Raman Spectroscopy,57,1,131-139,2026,
"Perl, Scott M; Baxter, Bonnie K; Celestian, Aaron J; Tasoff, Preston; Seuylemezian, Arman; Vaishampayan, Parag A; Corsetti, Frank A; ",Evaporitic Preservation of Modern Carotenoid Biomarkers and Halophilic Microorganisms in Mars Analog Hypersaline Environments,Astrobiology,25,11,765-776,2025,"SAGE Publications Sage CA: Los Angeles, CA"
"Schmidt, William C; Mousavi, Ava; Li, Jiahui; Yang, Rena; Gonzalez Marin, Gerson; Schreiber IV, Henry L; Hammann, Rachael ES; Obernuefemann, Chloe LP; Bergeron, Karla; Klim, Aleksandra; ",Intercalated bacterial biofilms are intrinsic internal components of calcium-based kidney stones,Proceedings of the National Academy of Sciences,123,5,e2517066123,2026,National Academy of Sciences
"Weber, Jessica M; Martinez, Eduardo; Sheppard, Rachel Y; Rodriguez, Laura E; Celestian, Aaron; Teece, Bronwyn L; Barge, Laura M; ",Mineral Weathering Experiments for Terrestrial Planetary Analogs in a Continuous‐Flow Reactor,Geofluids,2026,1,6180315,2026,Wiley
"Celestian, Aaron J; Xu, Wenqian; Kubicki, James D; Perl, Scott M; ",Molecular Mechanisms of Magnesium Sulfate Crystallization: Bond Length Inversion and the Role of Hydration in Mineral Formation,American Mineralogist,,,,2026,Mineralogical Society of America
"Cooperdock, Emily HG; Bonilla, Ailani N; Grabiec, Justine G; Bustos-Moreno, Juan Felipe; Celestian, Aaron J; Mallik, Ananya; Bebout, Gray E; ",Nitrogen mineral hosts in subduction zone metamorphosed ultramafic rocks: Implications for deep Forearc (to Subarc) transfer,Chemical Geology,,,123307,2026,Elsevier
"Robinson, Adam; McQuaig-Ulrich, Shannon; Dondero, Tyler; Celestian, Aaron; Perl, Scott; ",Perchlorate Anaerobiosis in Haloferax volcanii: A Novel Metabolic Capability for A Model Haloarchaeon,,,,,2026,
"Kampf, Anthony R; Celestian, Aaron J; Ma, Chi; Rose, Timothy P; Marty, Joe; ","Cadvanite, a New Cadmium Vanadate from the Burro Mine, San Miguel County, Colorado, USA",The Canadian Journal of Mineralogy and Petrology,64,2,185-193,2026,Mineralogical Association of Canada
